question,label
"The Mayan king Yax Pahsaj symbolized his royalty on a stele that depicts:
a. an eagle, a serpent, and a jaguar, all of which were important royal animals.
b. a series of decisive military conquests against a rival king.
c. a lightning bolt descending from heaven and marking him as the leader.
d. the founder of the dynasty “passing him the torch.”
",D
"Which of the following was the greatest advantage of using fire in human evolution?
a. Fire offers protection from predators and enemies.
b. Fire makes meat more digestible and kills bacteria.
c. Fire produces light and heat.
d. Fire can be used in warfare and to clear fields.
",B
"A more accurate calibration curve and conversion for radiocarbon dating can be derived from:
a. dendrochronology.
b. coins recovered from ancient shipwrecks.
c. written records.
d. all of the above.
",A
"The Gault site in south-central Texas has produced evidence from 13,000 years ago that Paleoindians chose this location based on the:
a. nearness of the site to navigable rivers and the Gulf coast.
b. abundance of wild game, plants, and fish in a rich and diverse woodland environment.
c. proximity to a local source of chert for quarrying and making stone tools.
d. nearby location of migratory routes of large mammals such as bison.
",C
"By analyzing the levels of 13C in bones, researchers can establish whether an individual ate:
a. mostly grains or mostly nuts and fruits.
b. mostly meat or mostly vegetables.
c. no dairy or lots of dairy.
d. a certain type of honey produced only in sub-Saharan Africa.
",A
"What do the Hassunan and Samarran sites in Mesopotamia have in common?
a. Both relied heavily on agriculture.
b. Both have an abundance of rare luxury items.
c. Both have high-status burials.
d. Both have sophisticated monumental architecture.
",A
"That modern Africans do not possess any Neandertal DNA indicates that:
a. Gene flow between Neandertals and anatomically modern humans must have occurred before Neandertals migrated out of Africa.
b. Gene flow between Neandertals and anatomically modern humans occurred after anatomically modern humans migrated out of Africa.
c. Neandertals who lived in Africa did not interbreed with anatomically modern humans, but must have followed them when they migrated out of Africa.
d. Interbreeding between anatomically modern humans and Neandertals never occurred.
",B
"Homo erectus differed from Homo habilis in which way?
a. Erectus fossils are found only in Africa.
b. Erectus possessed a smaller brain.
c. Erectus possessed a larger brain.
d. Erectus was a relatively short-lived species.
",C
"The name Teotihuacán was given to the city by:
a. the Aztecs, who continued to make pilgrimages there long after its collapse.
b. the Spanish invaders, who largely destroyed it.
c. the city's first king, who named it after his favorite deity.
d. Olmec traders, who were impressed with its grandeur.
",A
"The Hopewell were complex rank societies, but they were not a state. Hopewell culture lacked all of the following elements EXCEPT:
a. formal government
b. monumental earthworks
c. urban centers
d. a permanent military
",B
"Analysis of the teeth of a hominid species discovered in Malapa Cave in South Africa, dating just after 2 million years ago, indicates a diet that consisted primarily of:
a. fruits, leaves, and C3 plants.
b. meat derived from carnivorous mammals.
c. meat, fish, and some plants.
d. C4 grasses that may have included wild wheat.
",A
"Which of the following is a remote-sensing device used at archaeological sites?
a. ground-penetrating radar
b. proton magnetometer
c. electrical resistivity
d. all the above
",D
"Unequivocal evidence for art as symbolic expression dates from as early as:
a. 95,000 BP, at Dolni Vestonice.
b. 77,000 BP, at Blombos Cave.
c. 50,000 BP, at Des Moines, IA.
d. 36,000 BP, at Wharton Hill.
",B
"Based on the strontium isotope ratios in the teeth of people buried at Copán, who were the rulers?
a. local elite who rose to power based on their popularity and knowledge of politics
b. foreigners from different regions across much of the Maya territory
c. an elite class of astronomer-priests who ate mostly vegetables and fish
d. Egyptian emigrants who arrived on ships and taught the Maya how to build pyramids
",B
"In rare cases, the residue of blood on ancient stone tools can:
a. prevent archaeologists from doing their research, since only forensic anthropologists can study bloody tools.
b. be used to identify the species of animals killed and likely eaten.
c. be used to predict the types of weapons that were not used for hunting.
d. none of the above; blood does not preserve and has never been identified on stone tools.
",B
"Which area is home to the tradition of making stone tools from chipped pebbles, called Hoabinhian?
a. Australia
b. North America
c. Europe
d. Asia
",D
"The controversial theory that people from present-day Europe colonized North America at the end of Pleistocene is:
a. supported by genetic evidence that establishes close connections between the oldest skeletons in the Americas and the European genome.
b. refuted by genetic evidence from the oldest skeletons in the Americas that establishes close connections between modern Native Americans and the native people of central Siberia.
c. proven by genetic evidence that establishes close connections between the oldest skeletons in the Americas and Norse explorers who arrived in northeastern Canada around A.D. 1000.
d. refuted by the complete absence of documents that record a migration of Europeans into the Americas.
",B
"Based on the available evidence, which of the following evolved first among hominids?
a. bipedal locomotion
b. language
c. a larger cranium and brain size larger than 1000 cc
d. Oldowan stone tools
",A
"What designation for a pottery style was eventually applied to an entire cultural complex that moved across the Pacific?
a. Clovis
b. Nenana Complex
c. Lapita
d. Micronesian Pottery Tradition
",C
"The argument in favor of hominids making and using stone tools by at least 3.3 million years ago is supported by:
a. cut marks on animal bones that were made by butchering with pieces of stone.
b. the anatomy of Australopithecus africanus hands and analogies with studies of living non-human primates that demonstrate tool use.
c. simple stone cores, anvil stones, and flakes found at the Lomekwi 3 site in West Turkana, Kenya.
d. all of the above.
",D
"Which of the following are techniques of trace element analysis?
a. proton magnetometer and electrical resistivity
b. accelerator mass spectrometry and photosynthesis pathways
c. carbon isotope analysis and experimental replication
d. neutron activation analysis and X- ray fluorescence
",D
"The presence of caribou bones found near the Hudson River valley in New York from a site dated 10,000 years ago implies:
a. that the main food source was caribou meat.
b. a much colder climate during that time.
c. that caribou were imported into the United States from Canada.
d. that the people who lived at this site had high cholesterol.
",B
"What contributes to societies becoming more complex?
a. Surplus food is stored in large, collective facilities.
b. Crop irrigation requires the construction of dams or canals.
c. Sedentary communities need to defend themselves.
d. All of the above.
",D
"What was a unifying element to the Chavin culture?
a. artistic styles incorporating the same creatures
b. woven textiles displaying common motifs
c. worked metal objects
d. all the above
",D
"The possibility that Homo erectus possessed an aesthetic sense and may have created “art” is suggested by:
a. the size of their brains, with a mean brain size slightly larger than modern humans.
b. cave paintings and elaborate burials with numerous grave goods at the Trinil site.
c. recovery of a shell at the Trinil site with an intentionally engraved series of lines.
d. all of the above.
",C
"Opportunistic foraging involves:
a. careful planning and scheduling.
b. reliance on steady sources of food such as shellfish.
c. increased use of imported or ""exotic"" materials
d. little planning
",D
"Which subfield of anthropology aims to better understand the nearest living relatives of humans?
a. paleoanthropology
b. archaeology
c. primatology
d. linguistics
",C
"Evidence of wild grain harvesting and consumption in Israel dates to as early as
a. 20,000 B.P.
b. 12,000 B.P.
c. 10,000 B.P.
d. 8,000 B.P.
",A
"A design that is not painted upon but is etched into a rock face is called a:
a. pictograph.
b. petroglyph.
c. pictorial.
d. petrification.
",B
"With which of the following techniques were the native navigators of the Pacific NOT familiar?
a. bird flight paths
b. currents and wind patterns
c. magnetic orientation to the poles
d. cloud patterns
",C
"For which integers n such that 3 <= n <= 11 is there only one group of order n (up to isomorphism)?
a. For no such integer n
b. For 3, 5, 7, and 11 only
c. For 3, 5, 7, 9, and 11 only
d. For 4, 6, 8, and 10 only
",B
"If U and V are 3-dimensional subspaces of R^5, what are the possible dimensions of U ∩ V?
a. 0
b. 1
c. 0 or 1
d. 1, 2, or 3
",D
"If A is a subset of the real line R and A contains each rational number, which of the following must be true?
a. If A is open, then A = R.
b. If A is closed, then A = R.
c. If A is uncountable, then A = R.
d. If A is uncountable, then A is open.
",B
"Let F be a constant unit force that is parallel to the vector (-1, 0, 1) in xyz-space. What is the work done by F on a particle that moves along the path given by (t, t^2, t^3) between time t=0 and time t=1?
a. -1/4
b. -1/(4sqrt(2))
c. 0
d. sqrt(2)
",C
"Define a binary operation on Z, the set of integers, by the equation m • n = m + n + mn. Which of
the following statements is (are) true about the binary structure (Z, • )?
I. This structure is not a group since the operation is not associative.
II. This structure is not a group since there is no identity element.
III. This structure is not a group since not all elements have an inverse.
IV. This structure is a group.
a. I and II only
b. I and III only
c. II and III only
d. III only
",D
"Let S be the subset of R^2 consisting of all points (x, y) in the unit square [0, 1] × [0, 1] for which x or y, or both, are irrational. With respect to the standard topology on R^2, S is
a. closed
b. open
c. connected
d. totally disconnected
",C
